design,tie_mode,jm_smoothing,scheme,alpha,best,levy,n_durations,sigma_bar,sigma_bar_sd,sigma_min_med,quits_rate
rs,skip,1,eq3,1.3782782420447484,tpl,True,2845,0.1321631482243538,0.026859919786015304,0.050247954204678535,0.33246
rs,skip,0,eq3,1.0473421575601032,tpl,True,394,0.2871238146722317,0.025913165471626358,0.2997528612613678,0.33046
rs,uniform,1,caseA,1.3806549172313658,tpl,True,3059,0.1396765898168087,0.030558984631918182,0.056861214339733124,0.33143999999999996
rs,uniform,0,caseA,1.188588136391099,tpl,True,503,0.287882631868124,0.024543271544348703,0.2999531179666519,0.32991
ra,skip,1,eq3,1.31776595820605,tpl,True,2370,0.13667262069880962,0.02995440527366934,0.04830555245280266,0.33051
ra,skip,0,eq3,1.0257055120813359,tpl,True,370,0.28460649505257607,0.0287168565659597,0.29802997410297394,0.32929
ra,uniform,1,caseA,1.3435017261547166,tpl,True,2966,0.13384096659719943,0.025447607405364187,0.05489772744476795,0.33218
ra,uniform,0,caseA,1.0942144300290593,tpl,True,398,0.28740601897239687,0.026296637421519803,0.2999662607908249,0.33035999999999993
ss,skip,1,eq3,1.3288808649418802,tpl,True,1662,0.15699031949043274,0.029814818261413946,0.062028417363762856,0.33241
ss,skip,0,eq3,1.8511872217173296e-06,exp,False,103,0.29988799571990965,0.0011137236014446099,0.30000001192092896,0.33171000000000006
ss,uniform,1,caseA,1.422697855719556,tpl,True,2281,0.15147035107016563,0.03352223339680831,0.058111369609832764,0.33155999999999997
ss,uniform,0,caseA,nan,error,False,100,0.30000001192092896,0.0,0.30000001192092896,0.33177000000000006
sa,skip,1,eq3,1.3106031994749678,tpl,True,1667,0.1519755085557699,0.035329228740963135,0.06423966586589813,0.32956
sa,skip,0,eq3,nan,error,False,100,0.29995772838592527,0.0004194951269303624,0.30000001192092896,0.32986000000000004
sa,uniform,1,caseA,1.3657594684654861,tpl,True,1936,0.15059079512953757,0.02910789176589718,0.06318667903542519,0.32966000000000006
sa,uniform,0,caseA,nan,error,False,100,0.30000001192092896,0.0,0.30000001192092896,0.32986000000000004
