pair,design,observable,Nh,n,xmin,winner,w_PL,w_TPL,w_exp,w_logn,w_stexp,R_TPL_exp,p_TPL_exp,R_PL_exp,p_PL_exp,decades,alpha_TPL,alpha_PL,gap,PASS
bib-bib,rs,argmax,10,96347,5.0,truncated_power_law,0.0,1.0,0.0,8.801317837409025e-142,3.284934570054121e-100,78.70074748756618,0.0,70.92232986952493,0.0,3.0156949885265183,1.4410364968723122,1.5987233596662556,0.1576868627939434,True
bib-bib,ra,argmax,10,81212,5.0,truncated_power_law,0.0,1.0,0.0,1.281646899067397e-134,8.54449935009269e-98,75.82230560156991,0.0,68.76233269846365,0.0,3.15259407792747,1.428080348720814,1.5778208350856402,0.14974048636482618,True
bib-bib,ss,argmax,10,96498,5.0,truncated_power_law,0.0,1.0,0.0,2.0221098141192865e-156,5.471206933618763e-113,80.15140451475965,0.0,72.01879301256092,0.0,3.0549958615291417,1.4378068737329883,1.5975633666801738,0.15975649294718552,True
bib-bib,sa,argmax,10,84168,5.0,truncated_power_law,0.0,1.0,0.0,9.76247245958308e-161,6.027459661111589e-115,80.0027288631092,0.0,71.25611240895063,0.0,3.031327657761131,1.4093113350325654,1.574240050436969,0.16492871540440346,True
bo-bo,rs,argmax,10,762352,16.0,stretched_exponential,7.4e-323,9.128754252542401e-07,0.0,1.368295879317762e-05,0.9999854041657815,23.568773891117694,8.059961934532951e-123,11.6920344747354,1.3999237183303232e-31,1.4313637641589874,2.041141388390499,2.8367269204932706,0.7955855321027716,False
bo-bo,ra,argmax,10,734510,17.0,stretched_exponential,5.178572928301826e-259,1.569383492515302e-09,0.0,0.012729274542195867,0.9872707238884206,20.31864348741146,8.797380860615989e-92,10.427056863666385,1.8657802672773706e-25,1.5177391056279264,2.1508224938411478,2.9692504419501677,0.81842794810902,False
bo-bo,ss,argmax,10,786396,14.0,truncated_power_law,0.0,0.9999999986644732,0.0,2.1400090443881423e-37,1.3355267220594002e-09,20.030801694075567,2.9684072240685877e-89,-7.554103683058568,4.217541122448703e-14,1.1139433523068367,1.5123170395871233,2.9578736587164407,1.4455566191293174,False
bo-bo,sa,argmax,10,760848,12.0,truncated_power_law,0.0,0.7003433025441907,0.0,8.0856125153466e-23,0.29965669745580925,22.358288071184624,1.0028626249534341e-110,-8.658405924746297,4.784072301221067e-18,1.1613680022349748,1.502322017717988,2.943282608948081,1.440960591230093,False
bib-bib,rs,laminar,10,47048,2.0,truncated_power_law,0.0,1.0,0.0,3.16063787746019e-178,1.3229529816379116e-122,85.61051326055339,0.0,75.21858049597819,0.0,3.1121020547708906,1.333362201037806,1.5023039646653555,0.16894176362754965,True
bib-bib,ra,laminar,10,46269,2.0,truncated_power_law,0.0,1.0,0.0,5.477532805214258e-161,2.945840916187345e-106,84.5034339433506,0.0,73.94030114837594,0.0,3.150449409460881,1.321346038743037,1.4933504004949567,0.1720043617519198,True
