design,pair,scheme,tie_mode,defeat_mode,alpha,best,w_pl,w_tpl,w_exp,win_rate,quits_rate,sigma_post,n
rs,bib-bib,eq3,skip,random_other,1.4289488881026209,tpl,3.164883532741185e-161,1.0,0.0,0.33296499999999996,0.333142,0.1338912659883499,23391
rs,bib-bib,caseA,uniform,random_other,1.437998183256679,tpl,1.3475472346786106e-173,1.0,0.0,0.332867,0.33319899999999997,0.1305429708585143,30471
rs,bib-bib,hybrid,uniform,opponent,1.4355129223246625,tpl,8.736246143430998e-253,1.0,0.0,0.33193200000000006,0.3352380000000001,0.13156226973980664,34709
rs,bib-bib,defeatGT,skip,opponent,2.3867803026278223,tpl,0.03879273131852219,0.9612072686814777,0.0,0.279755,0.43937799999999994,0.08306476199999452,62095
rs,bo-bo,eq3,skip,random_other,2.028948226432378,tpl,2.5893096638959655e-73,1.0,1.082494302717946e-166,0.33163,0.336626,0.10211487255990505,195084
rs,bo-bo,caseA,uniform,random_other,1.9756411003658814,tpl,8.27273156739269e-144,1.0,0.0,0.332273,0.334736,0.1020385704189539,288614
rs,bo-bo,hybrid,uniform,opponent,1.8307638440547518,tpl,0.0,1.0,0.0,0.32726900000000003,0.345458,0.10188304163515567,292545
rs,bo-bo,defeatGT,skip,opponent,1.9963006253561555,tpl,4.39610699772789e-86,1.0,2.38144171948049e-167,0.321834,0.356344,0.10360810153186321,191711
ra,bib-bib,eq3,skip,random_other,1.379938377982786,tpl,5.7271468643191115e-223,1.0,0.0,0.33399699999999993,0.33307499999999995,0.1327246502786875,20706
ra,bib-bib,caseA,uniform,random_other,1.394841163054758,tpl,9.921910989638763e-282,1.0,0.0,0.333733,0.33283799999999997,0.13043435126543046,27508
ra,bib-bib,hybrid,uniform,opponent,1.4245249527799237,tpl,1.387487250533673e-175,1.0,0.0,0.33297399999999994,0.334205,0.1314116032421589,29286
ra,bib-bib,defeatGT,skip,opponent,2.282707708191837,tpl,0.005192576156125516,0.9948074238438745,0.0,0.27957299999999996,0.4404989999999999,0.08974418353289365,53805
ra,bo-bo,eq3,skip,random_other,2.0172370050866943,tpl,1.8032934816412383e-117,1.0,2.23565639891814e-304,0.328453,0.342487,0.10236428517848253,188797
ra,bo-bo,caseA,uniform,random_other,1.8638180462534957,tpl,3.846530779150949e-292,1.0,0.0,0.33265300000000003,0.3351179999999999,0.10283600434660911,278090
ra,bo-bo,hybrid,uniform,opponent,1.9654760470976667,tpl,1.0028162442485307e-98,1.0,7.235148048275381e-177,0.317636,0.363511,0.1039839305728674,279798
ra,bo-bo,defeatGT,skip,opponent,1.9661170935487746,tpl,1.6629578193122165e-89,1.0,1.8785380399474542e-210,0.28649299999999994,0.425807,0.115587894693017,146642
ss,bib-bib,eq3,skip,random_other,1.4263846074474147,tpl,2.120162708992858e-165,1.0,0.0,0.33222799999999997,0.33375199999999994,0.13436380766332148,23517
ss,bib-bib,caseA,uniform,random_other,1.4450743631198022,tpl,5.845658433849903e-160,1.0,0.0,0.33268699999999995,0.33400199999999997,0.1324089039862156,30130
ss,bib-bib,hybrid,uniform,opponent,1.4526842378031017,tpl,8.349167425015622e-239,1.0,0.0,0.331783,0.335622,0.12858790505677462,36058
ss,bib-bib,defeatGT,skip,opponent,2.3273099316967754,tpl,0.02030462385298497,0.979695376147015,0.0,0.286384,0.4262389999999999,0.08502810962498188,60190
ss,bo-bo,eq3,skip,random_other,1.4643593194736488,tpl,0.0,1.0,2.017462286688125e-253,0.33106899999999995,0.337603,0.10459630761295557,196468
ss,bo-bo,caseA,uniform,random_other,1.5082294999088632,tpl,6.529175258155453e-216,1.0,1.1677339903149878e-119,0.331654,0.335743,0.10490082014352083,285230
ss,bo-bo,hybrid,uniform,opponent,1.5281227333016698,tpl,0.0,1.0,1.0248102857311306e-262,0.326587,0.346466,0.10499682057648897,294507
ss,bo-bo,defeatGT,skip,opponent,1.3979283866493935,tpl,1.22034012817e-312,1.0,1.1164195360090288e-153,0.319177,0.36141100000000004,0.10724552404135465,196364
sa,bib-bib,eq3,skip,random_other,1.4133981095806998,tpl,4.334031416172438e-152,1.0,0.0,0.33360300000000004,0.333352,0.13353031307458876,20811
sa,bib-bib,caseA,uniform,random_other,1.433612386194635,tpl,1.0381278490979333e-201,1.0,0.0,0.33368700000000007,0.33344,0.13071667201817036,29477
sa,bib-bib,hybrid,uniform,opponent,1.440150299760326,tpl,3.762595703079157e-206,1.0,0.0,0.332906,0.334603,0.13067475985735655,30826
sa,bib-bib,defeatGT,skip,opponent,2.227199280360587,tpl,0.00761803846430353,0.9923819615356966,0.0,0.28714300000000004,0.425339,0.09317070238292217,49520
sa,bo-bo,eq3,skip,random_other,1.5304004269685525,tpl,1.8159781730714983e-238,1.0,4.571859868420292e-146,0.327469,0.34497700000000003,0.10585124637931585,190667
sa,bo-bo,caseA,uniform,random_other,1.4577460247118825,tpl,1.2259184234569483e-271,1.0,5.3192200748060815e-142,0.331376,0.33539500000000005,0.10568045403808356,278834
sa,bo-bo,hybrid,uniform,opponent,1.456070384885667,tpl,5.44412079700322e-265,1.0,5.043947181043882e-134,0.316673,0.36649,0.10708895586431026,282571
sa,bo-bo,defeatGT,skip,opponent,1.0993020228444,tpl,2.6583700606240275e-270,1.0,1.602358253583282e-51,0.257303,0.48606,0.11470656923949718,148164
